Country Name,state,value
Aruba,ABW,72.836
Andorra,AND,
Afghanistan,AFG,58.524
Angola,AGO,50.024
Albania,ALB,74.843
Arab World,ARB,68.37038604
United Arab Emirates,ARE,75.95
Argentina,ARG,72.066
Armenia,ARM,70.796
American Samoa,ASM,
Antigua and Barbuda,ATG,73.234
Australia,AUS,79.9
Austria,AUT,78.4
Azerbaijan,AZE,67.582
Burundi,BDI,53.941
Belgium,BEL,77.8
Benin,BEN,57.761
Burkina Faso,BFA,56.612
Bangladesh,BGD,69.711
Bulgaria,BGR,70.9
Bahrain,BHR,75.513
"Bahamas, The",BHS,71.953
Bosnia and Herzegovina,BIH,73.627
Belarus,BLR,66.6
Belize,BLZ,67.231
Bermuda,BMU,77.99
Bolivia,BOL,65.084
Brazil,BRA,70.143
Barbados,BRB,72.832
Brunei Darussalam,BRN,76.456
Bhutan,BTN,68.479
Botswana,BWA,61.912
Central African Republic,CAF,47.457
Canada,CAN,79.54
Central Europe and the Baltics,CEB,72.25443452
Switzerland,CHE,80.6
Channel Islands,CHI,78.385
Chile,CHL,77.949
China,CHN,73.89
Cote d'Ivoire,CIV,50.077
Cameroon,CMR,53.508
"Congo, Rep.",COG,59.52
Colombia,COL,70.102
Comoros,COM,60.982
Cabo Verde,CPV,71.077
Costa Rica,CRI,76.635
Caribbean small states,CSS,69.86862479
Cuba,CUB,77.106
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,77.593
Czech Republic,CZE,75.1
Germany,DEU,78.6
Djibouti,DJI,59.755
Dominica,DMA,
Denmark,DNK,78.1
Dominican Republic,DOM,70.068
Algeria,DZA,72.068
East Asia & Pacific (excluding high income),EAP,71.75021517
Early-demographic dividend,EAR,66.67607806
East Asia & Pacific,EAS,72.48599153
Europe & Central Asia (excluding high income),ECA,67.28362885
Europe & Central Asia,ECS,73.25157119
Ecuador,ECU,72.713
"Egypt, Arab Rep.",EGY,68.595
Euro area,EMU,78.61146996
Eritrea,ERI,60.524
Spain,ESP,79.5
Estonia,EST,71.4
Ethiopia,ETH,61.015
European Union,EUU,77.58197615
Fragile and conflict affected situations,FCS,59.39173313
Finland,FIN,77.7
Fiji,FJI,66.832
France,FRA,78.7
Faroe Islands,FRO,78.8
"Micronesia, Fed. Sts.",FSM,67.959
Gabon,GAB,62.97
United Kingdom,GBR,79.1
Georgia,GEO,70.821
Ghana,GHA,60.058
Gibraltar,GIB,
Guinea,GIN,57.123
"Gambia, The",GMB,58.484
Guinea-Bissau,GNB,52.804
Equatorial Guinea,GNQ,55.601
Greece,GRC,78
Grenada,GRD,70.653
Greenland,GRL,69.08
Guatemala,GTM,67.805
Guam,GUM,75.978
Guyana,GUY,63.968
High income,HIC,77.64998598
"Hong Kong SAR, China",HKG,80.7
Honduras,HND,70.316
Heavily indebted poor countries (HIPC),HPC,58.39639954
Croatia,HRV,73.9
Haiti,HTI,59.969
Hungary,HUN,71.6
IBRD only,IBD,69.51166918
IDA & IBRD total,IBT,67.35975056
IDA total,IDA,61.08625013
IDA blend,IDB,61.12846639
Indonesia,IDN,66.502
IDA only,IDX,61.06226988
Isle of Man,IMN,
India,IND,65.985
Not classified,INX,
Ireland,IRL,78.7
"Iran, Islamic Rep.",IRN,73.573
Iraq,IRQ,66.599
Iceland,ISL,81.6
Israel,ISR,79.9
Italy,ITA,79.8
Jamaica,JAM,72.933
Jordan,JOR,72.143
Japan,JPN,79.94
Kazakhstan,KAZ,64.84
Kenya,KEN,58.824
Kyrgyz Republic,KGZ,66.1
Cambodia,KHM,65.304
Kiribati,KIR,62.499
St. Kitts and Nevis,KNA,
"Korea, Rep.",KOR,77.95
Kosovo,KSV,68.4
Kuwait,KWT,73.286
Latin America & Caribbean (excluding high income),LAC,71.01064173
Lao PDR,LAO,63.929
Lebanon,LBN,77.087
Liberia,LBR,59.279
Libya,LBY,68.932
St. Lucia,LCA,72.123
Latin America & Caribbean,LCN,71.30758
Least developed countries: UN classification,LDC,60.9525235
Low income,LIC,58.72637987
Liechtenstein,LIE,79.7
Sri Lanka,LKA,71.201
Lower middle income,LMC,65.02437309
Low & middle income,LMY,67.27232404
Lesotho,LSO,48.636
Late-demographic dividend,LTE,72.42182174
Lithuania,LTU,68.4
Luxembourg,LUX,79.1
Latvia,LVA,68.9
"Macao SAR, China",MAC,77.93
St. Martin (French part),MAF,75.9
Morocco,MAR,72.351
Monaco,MCO,
Moldova,MDA,66.812
Madagascar,MDG,62.793
Maldives,MDV,75.476
Middle East & North Africa,MEA,70.65254797
Mexico,MEX,73.978
Marshall Islands,MHL,
Middle income,MIC,68.20398209
"Macedonia, FYR",MKD,72.802
Mali,MLI,57.315
Malta,MLT,78.6
Myanmar,MMR,63.439
Middle East & North Africa (excluding high income),MNA,69.87218006
Montenegro,MNE,73.588
Mongolia,MNG,64.474
Northern Mariana Islands,MNP,
Mozambique,MOZ,52.677
Mauritania,MRT,61.107
Mauritius,MUS,70.4
Malawi,MWI,59.042
Malaysia,MYS,72.156
North America,NAC,76.71331774
Namibia,NAM,61.207
New Caledonia,NCL,74
Niger,NER,59.354
Nigeria,NGA,51.805
Nicaragua,NIC,71.231
Netherlands,NLD,79.3
Norway,NOR,79.5
Nepal,NPL,67.456
Nauru,NRU,
New Zealand,NZL,79.4
OECD members,OED,77.15432325
Oman,OMN,74.532
Other small states,OSS,64.90777162
Pakistan,PAK,64.812
Panama,PAN,74.239
Peru,PER,71.464
Philippines,PHL,64.69
Palau,PLW,
Papua New Guinea,PNG,60.236
Poland,POL,72.6
Pre-demographic dividend,PRE,56.32660489
Puerto Rico,PRI,75.042
